level1,level2,level3,value
Page 1,Page 2,Page 3,3
Page 1,Page 2,Page 5,9
Page 1,Page 3,Page 2,4
Page 1,Page 3,Page 4,5
Page 1,Page 3,Page 6,9
Page 1,Page 4,Page 3,3
Page 1,Page 4,Page 4,6
Page 1,Page 4,Page 5,4
Page 1,Page 4,Page 8,5
Page 1,Page 5,Page 3,3
Page 1,Page 5,Page 5,10
Page 1,Page 6,Page 8,4
Page 1,Page 7,Page 2,9
Page 2,Page 3,Page 1,6
Page 2,Page 3,Page 4,5
Page 2,Page 3,Page 6,9
Page 2,Page 4,Page 3,3
Page 2,Page 4,Page 4,6
Page 2,Page 4,Page 5,4
Page 2,Page 4,Page 6,5
Page 3,Page 2,Page 5,9
Page 3,Page 3,Page 3,3
Page 3,Page 3,Page 4,5
Page 3,Page 3,Page 8,9
