level1,level2,level3,level4,level5,value
Page 1,Page 2,Page 5,Page 3,Page 3,5
Page 1,Page 3,Page 4,Page 2,Page 3,5
Page 1,Page 3,Page 6,Page 3,Page 3,5
Page 1,Page 4,Page 4,Page 6,Page 2,6
Page 1,Page 4,Page 8,Page 2,Page 3,5
Page 1,Page 5,Page 5,Page 3,Page 1,6
Page 1,Page 7,Page 2,Page 3,Page 3,5
Page 2,Page 3,Page 1,Page 1,Page 1,6
Page 2,Page 3,Page 4,Page 2,Page 3,5
Page 2,Page 3,Page 6,Page 3,Page 3,5
Page 2,Page 4,Page 4,Page 6,Page 2,6
Page 2,Page 4,Page 6,Page 2,Page 3,5
Page 3,Page 2,Page 5,Page 3,Page 3,5
Page 3,Page 3,Page 4,Page 2,Page 3,5
Page 3,Page 3,Page 8,Page 3,Page 3,5
